date	latitude	longitude	blh	co_ugm3	no2_ugm3	so2_ugm3	PM25
20240101	-8.0	115.25	292.281	2844.607758	4.458873	3.102906	25.3
20240101	-8.0	116.0	415.208	2011.330947	2.940078	1.75004	28.35
20240101	-8.75	115.25	274.525	3012.398871	4.946879	3.348002	20.93
20240101	-8.75	116.0	314.229	2648.386686	4.58747	3.268094	25.28
20240102	-8.0	115.25	297.372	2666.6781	4.04183	3.118269	30.89
20240102	-8.0	116.0	443.195	1784.891752	2.521768	1.586254	30.15
20240102	-8.75	115.25	241.439	3374.297442	5.416275	3.87089	27.15
20240102	-8.75	116.0	382.887	2188.126784	3.618203	2.731942	30.93
20240103	-8.0	115.25	275.645	2505.14321	4.018934	2.2188	22.53
20240103	-8.0	116.0	404.174	1706.75996	2.561983	1.213252	19.85
20240103	-8.75	115.25	274.46	2702.759965	4.88058	3.704726	36.21
20240103	-8.75	116.0	387.528	1926.965535	3.453394	2.303217	32.46
20240104	-8.0	115.25	281.664	2572.430982	4.392539	4.22257	8.75
20240104	-8.0	116.0	350.792	2090.44676	3.149433	2.5055	12.0
20240104	-8.75	115.25	316.748	2420.1624	4.625813	4.126968	17.09
20240104	-8.75	116.0	407.797	1945.338489	3.476337	3.129231	24.53
20240105	-8.0	115.25	266.618	3056.410295	5.31056	4.296874	17.13
20240105	-8.0	116.0	353.227	2290.435046	3.357662	2.301539	16.0
20240105	-8.75	115.25	273.815	3118.492778	4.778434	3.797082	18.47
20240105	-8.75	116.0	375.703	2277.775796	3.694647	2.776414	20.92
20240106	-8.0	115.25	234.309	3338.166694	5.739054	3.730974	27.4
20240106	-8.0	116.0	372.726	2097.299625	3.103422	1.593074	25.05
20240106	-8.75	115.25	309.921	2542.933199	4.07115	2.44765	21.22
20240106	-8.75	116.0	364.455	2182.731201	3.790734	2.154763	23.57
20240107	-8.0	115.25	303.845	2625.843769	4.553266	2.970029	21.14
20240107	-8.0	116.0	423.265	1851.292689	2.967394	1.579518	20.38
20240107	-8.75	115.25	274.325	2863.767065	5.022685	3.425175	14.81
20240107	-8.75	116.0	317.64	2498.425261	5.364148	3.075553	17.28
20240108	-8.0	115.25	317.322	2262.411998	4.926192	6.380856	18.0
20240108	-8.0	116.0	439.064	1623.525272	3.468954	2.630575	15.56
20240108	-8.75	115.25	290.384	2407.884043	5.070458	4.02505	21.39
20240108	-8.75	116.0	360.129	1977.046003	5.093461	3.727039	21.59
20240109	-8.0	115.25	278.429	2756.324952	5.143027	8.475647	22.17
