date	latitude	longitude	blh	co_ugm3	no2_ugm3	so2_ugm3	PM25
20240101	5.5	95.0	669.018	1268.779465	2.926296	1.455556	14.47
20240101	5.5	95.75	431.726	1917.703127	4.746075	2.2123	15.84
20240101	5.5	96.5	547.101	1510.952091	3.595623	1.903131	14.01
20240101	5.5	97.25	517.877	1622.416713	3.807672	2.482259	10.55
20240101	5.5	98.0	570.562	1463.185596	3.282902	2.35709	8.99
20240101	5.5	98.75	465.041	1818.267637	4.386332	2.949273	9.01
20240101	4.75	95.0	422.33	2017.175905	3.796645	1.280474	12.45
20240101	4.75	95.75	225.21	3686.263931	7.825936	2.516904	15.41
20240101	4.75	96.5	200.44	3920.265416	9.608856	3.293591	15.67
20240101	4.75	97.25	252.153	3165.091433	7.694626	3.641459	14.02
20240101	4.75	98.0	363.69	2349.490775	6.29617	3.828227	11.3
20240101	4.75	98.75	349.882	2480.447122	7.10908	4.120326	9.87
20240101	4.0	95.0	312.249	2684.642705	4.267613	0.66721	7.98
20240101	4.0	95.75	314.807	2674.212772	4.760094	0.87305	9.14
20240101	4.0	96.5	94.382	8490.3382	17.487201	4.022026	10.44
20240101	4.0	97.25	192.528	3956.832772	8.980657	3.252571	12.31
20240101	4.0	98.0	208.635	3912.396769	10.723498	5.840127	16.81
20240101	4.0	98.75	350.294	2531.573193	8.87086	5.762205	19.87
20240101	3.25	95.0	411.109	2003.053448	3.129812	0.419067	5.8
20240101	3.25	95.75	311.067	2670.548467	4.651843	0.742908	6.16
20240101	3.25	96.5	349.223	2416.913548	4.619701	0.945594	7.19
20240101	3.25	97.25	127.242	6375.530092	13.641824	4.246073	10.02
20240101	3.25	98.0	186.523	4255.345453	11.523641	4.879074	15.44
20240101	3.25	98.75	158.187	5366.119845	18.560659	10.235582	24.33
20240101	2.5	95.0	405.023	2016.226486	3.198078	0.474101	5.57
20240101	2.5	95.75	292.856	2824.123119	4.961561	0.82887	4.93
20240101	2.5	96.5	318.929	2641.926573	5.086812	1.045701	5.74
20240101	2.5	97.25	333.617	2565.044347	5.588357	1.403542	8.05
20240101	2.5	98.0	82.765	10061.087416	27.134634	9.046092	12.56
20240101	2.5	98.75	162.111	4975.303342	16.210103	6.078688	17.63
20240101	1.75	95.0	399.859	2052.104867	3.313553	0.537818	5.01
20240101	1.75	95.75	321.408	2583.801897	4.562612	0.833012	4.71
20240101	1.75	96.5	306.585	2740.633756	5.263796	1.144296	5.65
20240101	1.75	97.25	375.005	2274.319009	4.957929	1.261689	7.83
20240101	1.75	98.0	388.234	2215.920038	5.57589	1.547752	8.87
20240101	1.75	98.75	146.814	5639.313008	17.331174	5.422307	12.84
20240101	1.0	95.0	425.369	1933.021212	3.140389	0.566791	5.18
20240101	1.0	95.75	353.525	2342.032671	4.039117	0.830925	5.83
20240101	1.0	96.5	424.463	1968.475698	3.71062	0.859623	6.69
20240101	1.0	97.25	377.869	2221.351844	4.858896	1.220854	9.27
