date	latitude	longitude	blh	co_ugm3	no2_ugm3	so2_ugm3	PM25
20240101	4.0	99.5	296.762	2995.820894	10.798286	5.987185	14.44
20240101	4.0	100.25	357.492	2432.563246	9.971974	3.627539	7.07
20240101	4.0	101.0	293.489	2806.928709	11.941712	4.491095	17.46
20240101	3.25	99.5	238.109	3714.379129	13.66058	7.488629	20.05
20240101	3.25	100.25	297.9	2907.039611	11.596197	4.625918	10.31
20240101	3.25	101.0	368.377	2389.393746	14.999536	5.080404	19.96
20240101	2.5	99.5	112.096	7538.036148	26.946492	10.797388	19.38
20240101	2.5	100.25	200.994	4265.160652	14.08241	6.368091	11.36
20240101	2.5	101.0	297.223	2892.973626	13.199248	5.452505	15.11
20240101	1.75	99.5	190.549	4288.25394	14.602769	4.856704	15.09
20240101	1.75	100.25	229.468	3647.509892	11.669736	4.719434	11.25
20240101	1.75	101.0	280.687	2988.774685	8.631479	5.407796	11.18
20240101	1.0	99.5	211.775	3885.829772	12.371503	4.08898	13.18
20240101	1.0	100.25	221.46	3690.448388	11.354394	5.21491	13.24
20240101	1.0	101.0	288.502	2871.994648	8.394874	5.747867	15.32
20240101	0.25	98.0	449.221	1877.705851	4.110899	1.075455	8.54
20240101	0.25	98.75	380.411	2235.021069	5.566477	1.612642	8.24
20240101	0.25	99.5	182.64	4557.1129	13.58116	4.87161	13.12
20240101	0.25	100.25	246.692	3285.215572	9.965739	4.696476	15.63
20240101	0.25	101.0	266.549	3060.235454	9.137472	6.082311	17.87
20240102	4.0	99.5	280.45	3158.499911	9.569606	4.121925	13.02
20240102	4.0	100.25	296.369	2950.293384	10.663838	2.896291	6.84
20240102	4.0	101.0	278.71	2997.710523	12.501923	3.350672	15.96
20240102	3.25	99.5	238.156	3751.202993	11.679664	4.618133	19.05
20240102	3.25	100.25	315.018	2799.426699	9.886095	2.837825	11.26
20240102	3.25	101.0	337.83	2678.474677	15.067265	4.405319	20.75
20240102	2.5	99.5	222.635	3873.65823	11.915674	3.240535	18.85
20240102	2.5	100.25	314.637	2779.779238	7.876467	2.578399	15.03
20240102	2.5	101.0	293.747	3008.694557	12.436655	4.125646	18.62
20240102	1.75	99.5	178.38	4717.129723	15.027755	3.370823	18.21
20240102	1.75	100.25	272.848	3150.302733	9.363752	2.74084	18.72
20240102	1.75	101.0	257.877	3312.765776	9.486123	4.219872	15.52
20240102	1.0	99.5	211.598	4005.513757	13.853718	2.865475	15.87
20240102	1.0	100.25	212.054	3999.215294	13.33251	3.823699	18.7
20240102	1.0	101.0	325.348	2622.508821	8.64924	3.702346	19.67
20240102	0.25	98.0	313.65	2656.964451	6.52864	1.793007	6.08
20240102	0.25	98.75	252.195	3379.146692	9.598921	2.255304	7.57
20240102	0.25	99.5	218.005	3898.407835	13.489631	3.097142	15.38
20240102	0.25	100.25	196.533	4270.437535	14.934031	4.145816	19.83
20240102	0.25	101.0	273.437	3133.259215	10.775915	3.682274	23.99
20240103	4.0	99.5	279.835	3285.858452	11.363478	5.149895	13.04
20240103	4.0	100.25	314.637	2850.792183	10.631614	3.296586	4.8
20240103	4.0	101.0	220.176	3875.336549	15.102273	5.023077	11.46
20240103	3.25	99.5	191.106	4890.605737	17.980749	7.255309	18.51
20240103	3.25	100.25	288.171	3168.329915	12.087445	3.859882	8.69
20240103	3.25	101.0	330.968	2676.327319	14.920929	4.608004	13.11
20240103	2.5	99.5	165.106	5400.804937	19.440172	5.505189	18.14
20240103	2.5	100.25	203.431	4482.817761	14.644872	5.441019	12.39
20240103	2.5	101.0	291.036	3007.559889	12.665756	4.838762	12.32
20240103	1.75	99.5	174.283	4907.12634	16.647017	4.138798	17.51
20240103	1.75	100.25	196.541	4486.857195	14.16394	4.772859	15.09
20240103	1.75	101.0	155.728	5511.054531	15.920079	8.388402	11.52
20240103	1.0	99.5	164.22	5155.339788	16.743058	4.027296	14.64
20240103	1.0	100.25	188.28	4549.486934	14.143122	4.67947	15.32
20240103	1.0	101.0	181.017	4684.766072	13.830242	7.242259	15.2
20240103	0.25	98.0	350.72	2332.846145	5.594469	1.060181	10.5
20240103	0.25	98.75	330.757	2514.153593	6.747243	1.35237	8.56
20240103	0.25	99.5	178.838	4679.399792	14.491322	3.401417	12.05
20240103	0.25	100.25	154.991	5418.301063	16.677233	5.128326	14.92
20240103	0.25	101.0	155.999	5479.242816	16.510933	7.388849	18.38
20240104	4.0	99.5	322.008	2909.376475	8.449768	4.440834	15.31
20240104	4.0	100.25	346.443	2714.569208	8.159466	2.856701	9.72
20240104	4.0	101.0	315.219	2990.431097	8.567117	3.060395	22.26
20240104	3.25	99.5	262.794	3542.332397	10.260877	5.310875	19.4
20240104	3.25	100.25	276.86	3369.191288	9.977852	3.773608	12.25
20240104	3.25	101.0	383.05	2572.901188	11.298321	3.720068	24.17
20240104	2.5	99.5	167.992	5325.345255	14.47057	5.913577	18.32
20240104	2.5	100.25	247.565	3761.166158	9.054147	4.247903	13.48
20240104	2.5	101.0	349.427	2764.228008	8.974822	3.719967	19.64
20240104	1.75	99.5	134.727	6485.348148	16.140848	6.507573	16.58
20240104	1.75	100.25	161.706	5680.964837	12.695299	6.148707	14.83
20240104	1.75	101.0	224.188	4135.343551	8.43646	5.528833	14.28
20240104	1.0	99.5	227.716	3723.797625	8.651742	3.694075	14.2
20240104	1.0	100.25	195.927	4504.931939	9.509833	4.990479	14.7
