date	latitude	longitude	blh	co_ugm3	no2_ugm3	so2_ugm3	PM25
20240101	1.0	101.75	251.408	3269.546315	10.298387	9.196497	12.63
20240101	0.25	101.75	205.2	3977.416667	12.610877	11.031813	15.37
20240101	-0.5	99.5	261.619	3258.433447	8.800607	3.14282	10.76
20240101	-0.5	100.25	216.986	3725.218217	11.850405	4.926157	16.65
20240101	-0.5	101.0	321.757	2480.019083	7.386453	4.353817	17.08
20240101	-0.5	101.75	267.609	3042.498197	8.645449	6.447963	15.61
20240101	-1.25	99.5	304.377	2842.817624	6.722584	2.266621	8.13
20240101	-1.25	100.25	269.583	3078.920778	8.480134	3.378577	12.07
20240101	-1.25	101.0	324.19	2373.861933	6.415559	2.89888	13.94
20240101	-1.25	101.75	360.26	2176.29351	5.477869	3.307112	12.48
20240101	-2.0	99.5	332.14	2572.331547	5.781604	1.76334	7.96
20240101	-2.0	100.25	326.359	2642.397176	6.170159	1.986119	7.82
20240101	-2.0	101.0	170.078	4727.39449	11.076671	3.94418	9.53
20240101	-2.0	101.75	185.369	4103.300983	8.852737	3.523222	10.2
20240101	-2.75	99.5	404.226	2088.674158	4.459552	1.090474	7.64
20240101	-2.75	100.25	432.765	1981.512368	4.336215	1.126356	7.44
20240101	-2.75	101.0	265.822	3238.974577	6.760291	1.778336	7.99
20240101	-2.75	101.75	188.559	4303.5469	8.585716	2.376648	9.31
20240101	-3.5	99.5	525.744	1607.755866	3.231495	0.750258	9.29
20240101	-3.5	100.25	435.872	1958.961117	3.867856	0.892093	8.32
20240101	-3.5	101.0	359.804	2403.305689	4.529844	1.042328	8.57
20240101	-3.5	101.75	273.299	3189.493558	6.181889	1.385602	10.91
20240102	1.0	101.75	390.721	2139.920045	7.320776	4.260408	15.36
20240102	0.25	101.75	303.869	2779.468455	9.818906	4.817852	20.05
20240102	-0.5	99.5	302.702	2835.078394	8.409829	2.270285	14.4
20240102	-0.5	100.25	189.911	4408.404463	15.031804	3.63068	23.94
20240102	-0.5	101.0	265.52	3165.951341	10.201992	2.924815	24.8
20240102	-0.5	101.75	300.624	2837.79472	8.594493	3.167809	21.63
20240102	-1.25	99.5	333.551	2579.144718	5.786917	1.648475	12.68
20240102	-1.25	100.25	316.692	2673.124676	6.931814	1.733868	21.74
20240102	-1.25	101.0	201.893	4018.444919	10.729872	2.341936	22.65
20240102	-1.25	101.75	311.283	2646.463507	6.495205	1.930539	18.74
20240102	-2.0	99.5	359.538	2352.993564	4.431598	1.237133	13.82
20240102	-2.0	100.25	359.283	2377.620706	4.667777	1.082451	18.98
20240102	-2.0	101.0	174.58	4697.787261	9.770426	1.856325	21.39
20240102	-2.0	101.75	248.934	3195.9194	6.187696	1.246268	18.08
20240102	-2.75	99.5	488.541	1700.399966	2.869233	0.702154	13.15
20240102	-2.75	100.25	412.189	2030.198768	3.620994	0.719806	17.12
20240102	-2.75	101.0	234.619	3541.894731	7.032444	1.221516	20.14
20240102	-2.75	101.75	193.468	4157.043025	8.364443	1.450656	18.3
20240102	-3.5	99.5	474.393	1729.980206	2.768409	0.645854	10.94
20240102	-3.5	100.25	412.741	1961.50758	3.273925	0.724745	11.19
20240102	-3.5	101.0	393.833	2045.66047	3.746527	0.743483	13.38
20240102	-3.5	101.75	279.486	2862.342658	6.063187	1.21115	16.9
20240103	1.0	101.75	282.882	2919.609236	8.80552	6.38901	11.52
20240103	0.25	101.75	188.543	4441.528988	13.670277	8.56018	15.04
20240103	-0.5	99.5	427.176	1963.056211	5.176234	1.118748	10.44
20240103	-0.5	100.25	172.504	4803.348908	15.238429	3.552569	14.89
20240103	-0.5	101.0	149.616	5599.519436	16.707932	5.68643	17.13
20240103	-0.5	101.75	231.702	3688.275457	10.68213	4.427735	16.78
20240103	-1.25	99.5	355.676	2330.257594	4.97674	0.873778	9.37
20240103	-1.25	100.25	403.554	2043.247	5.390228	1.08783	12.16
20240103	-1.25	101.0	205.108	3949.965872	11.044542	2.419959	16.89
20240103	-1.25	101.75	364.455	2282.912294	5.970172	1.749167	15.84
20240103	-2.0	99.5	272.046	2950.941385	5.521463	0.889868	9.29
20240103	-2.0	100.25	355.012	2296.086048	4.980192	0.743223	9.78
20240103	-2.0	101.0	208.705	3836.474929	9.58747	1.545948	14.11
20240103	-2.0	101.75	167.697	4817.048009	11.775589	2.149393	15.12
20240103	-2.75	99.5	320.207	2435.646629	4.025693	0.593162	8.02
20240103	-2.75	100.25	330.733	2393.528012	4.560289	0.61534	8.34
20240103	-2.75	101.0	444.804	1793.111573	4.14153	0.480126	9.76
20240103	-2.75	101.75	267.608	2983.189964	7.315574	0.956032	12.08
20240103	-3.5	99.5	398.551	1923.359369	2.862517	0.488347	6.75
20240103	-3.5	100.25	400.036	1921.375576	3.023658	0.507809	6.5
20240103	-3.5	101.0	476.588	1628.854272	3.099772	0.438374	7.46
20240103	-3.5	101.75	503.067	1564.401958	3.760958	0.500105	9.47
20240104	1.0	101.75	297.93	3064.994462	5.744071	4.695482	14.9
20240104	0.25	101.75	214.797	4167.795174	7.74643	5.7392	17.7
20240104	-0.5	99.5	348.357	2322.652911	4.951142	2.068987	10.06
20240104	-0.5	100.25	225.703	3611.544375	8.933439	3.825276	17.89
20240104	-0.5	101.0	164.974	5123.201232	10.95235	5.689635	18.95
20240104	-0.5	101.75	156.774	5628.666105	10.05985	5.785896	19.08
20240104	-1.25	99.5	325.232	2460.879003	4.605525	1.833586	6.12
20240104	-1.25	100.25	260.3	3097.502497	6.812693	2.786223	12.01
20240104	-1.25	101.0	158.667	5011.417623	10.554261	4.10343	14.4
20240104	-1.25	101.75	212.828	3926.640762	6.731802	2.885469	14.97
20240104	-2.0	99.5	325.951	2420.007609	4.174278	1.420917	5.49
20240104	-2.0	100.25	315.914	2522.052204	4.481359	1.770809	5.93
20240104	-2.0	101.0	114.55	6825.801833	12.573863	4.392814	8.85
20240104	-2.0	101.75	126.82	6224.642801	10.308887	3.27744	11.62
20240104	-2.75	99.5	416.521	1860.729711	2.940771	0.743249	4.42
20240104	-2.75	100.25	337.904	2319.907725	3.727497	1.189948	4.61
20240104	-2.75	101.0	204.982	3835.186504	6.560522	2.226452	5.56
20240104	-2.75	101.75	164.636	4758.897811	7.825032	2.260501	8.91
20240104	-3.5	99.5	526.727	1437.836298	2.175356	0.472976	3.71
20240104	-3.5	100.25	415.511	1851.612833	2.755593	0.650751	3.45
20240104	-3.5	101.0	399.951	1943.004018	3.035782	0.829435	4.03
20240104	-3.5	101.75	307.133	2557.796134	4.491696	1.279907	7.33
20240105	1.0	101.75	359.602	2680.552388	8.161615	5.052519	9.83
20240105	0.25	101.75	303.68	3138.85241	9.896519	5.215431	12.86
20240105	-0.5	99.5	279.097	3209.431846	8.466519	2.526972	7.45
20240105	-0.5	100.25	269.795	3347.359291	10.461747	2.941539	14.58
20240105	-0.5	101.0	370.128	2487.195241	7.464164	2.276517	16.07
20240105	-0.5	101.75	376.508	2503.616391	7.544039	2.910586	14.24
20240105	-1.25	99.5	340.391	2575.919457	5.961115	1.561898	4.78
20240105	-1.25	100.25	283.615	3199.505668	8.861182	2.265352	10.86
20240105	-1.25	101.0	347.456	2541.298179	6.816639	1.651694	14.2
20240105	-1.25	101.75	420.188	2143.387246	5.662577	1.779927	11.93
20240105	-2.0	99.5	376.032	2215.461716	4.44638	1.141089	4.34
20240105	-2.0	100.25	369.092	2445.095261	5.569422	1.231505	6.0
20240105	-2.0	101.0	187.394	4747.951375	11.437581	2.110448	9.64
20240105	-2.0	101.75	365.594	2375.602718	5.694418	1.087391	9.55
20240105	-2.75	99.5	396.412	1983.443993	3.315689	0.825191	2.73
20240105	-2.75	100.25	460.31	1844.695097	3.643436	0.748333	3.92
20240105	-2.75	101.0	319.532	2787.651315	6.903969	0.981282	5.7
20240105	-2.75	101.75	244.571	3595.225517	9.621427	1.2392	7.47
20240105	-3.5	99.5	447.446	1724.298128	2.719021	0.712833	1.56
20240105	-3.5	100.25	463.5	1721.135707	3.047195	0.655574	1.85
20240105	-3.5	101.0	415.935	2021.780807	4.435087	0.675487	3.35
20240105	-3.5	101.75	318.24	2755.608032	7.354789	0.975079	8.15
20240106	1.0	101.75	223.035	4689.313336	15.076441	12.140861	10.91
20240106	0.25	101.75	234.845	4481.223786	13.663685	8.830007	14.28
20240106	-0.5	99.5	438.041	2200.360469	5.52346	1.313863	10.24
20240106	-0.5	100.25	120.689	7951.761138	22.709178	5.667597	18.55
20240106	-0.5	101.0	155.994	6359.03945	17.395233	5.676709	18.11
20240106	-0.5	101.75	264.884	3947.169327	10.449374	4.07091	16.53
20240106	-1.25	99.5	505.212	1853.179853	3.940775	0.585426	6.32
20240106	-1.25	100.25	376.528	2516.875239	6.241916	1.090778	12.48
20240106	-1.25	101.0	181.772	4991.019519	13.404716	2.469352	18.48
20240106	-1.25	101.75	322.684	2978.978815	7.545788	1.832771	15.18
20240106	-2.0	99.5	483.035	1833.559473	3.613463	0.369034	6.38
20240106	-2.0	100.25	474.033	1992.252016	4.306441	0.456716	7.99
20240106	-2.0	101.0	107.494	8448.705974	20.69456	2.39163	13.36
20240106	-2.0	101.75	141.319	6269.786087	15.39391	2.092942	12.98
20240106	-2.75	99.5	505.666	1613.298699	2.966478	0.22455	6.92
20240106	-2.75	100.25	447.176	1971.668426	3.958278	0.312237	7.97
20240106	-2.75	101.0	331.741	2784.476745	6.489252	0.48136	8.91
20240106	-2.75	101.75	135.858	6611.906549	16.28345	1.459346	9.98
20240106	-3.5	99.5	481.936	1583.073686	2.859685	0.28308	7.78
20240106	-3.5	100.25	491.52	1638.497925	3.026235	0.242271	7.51
20240106	-3.5	101.0	474.601	1805.746933	3.925567	0.280928	7.84
20240106	-3.5	101.75	374.801	2367.782103	6.216888	0.472272	9.63
20240107	1.0	101.75	111.161	8279.477515	23.366136	11.591943	8.55
20240107	0.25	101.75	224.4	4236.103832	8.968534	3.948741	11.74
20240107	-0.5	99.5	406.671	2286.4158	4.090729	1.18029	10.64
20240107	-0.5	100.25	147.497	6254.123135	11.91911	3.312437	17.66
20240107	-0.5	101.0	200.806	4673.452984	8.385506	2.450731	17.61
20240107	-0.5	101.75	253.543	3811.364542	6.24414	1.717145	14.44
20240107	-1.25	99.5	501.296	1800.256535	2.982848	0.778161	9.13
20240107	-1.25	100.25	352.879	2559.135851	4.490395	1.154856	15.91
20240107	-1.25	101.0	166.53	5250.74401	8.683553	1.8022	19.93
20240107	-1.25	101.75	262.968	3461.123787	5.147018	0.952441	15.98
20240107	-2.0	99.5	580.895	1444.7642	2.292635	0.498853	7.9
20240107	-2.0	100.25	409.603	2145.124425	3.440839	0.812171	12.37
20240107	-2.0	101.0	115.642	7281.558603	11.494293	2.082489	17.29
20240107	-2.0	101.75	139.856	5956.320072	9.114582	1.388204	17.7
20240107	-2.75	99.5	626.085	1226.968223	1.95525	0.317739	6.01
20240107	-2.75	100.25	483.783	1675.944587	2.704568	0.507362	9.96
20240107	-2.75	101.0	248.02	3298.347311	5.586239	0.924119	16.65
20240107	-2.75	101.75	169.244	4700.048451	8.135934	1.139086	18.59
20240107	-3.5	99.5	583.103	1261.707108	2.105649	0.341696	5.13
20240107	-3.5	100.25	496.939	1511.263757	2.627073	0.415142	7.42
20240107	-3.5	101.0	433.278	1777.076842	3.233573	0.466695	14.11
20240107	-3.5	101.75	321.999	2410.140094	4.934686	0.774952	21.56
20240108	1.0	101.75	126.051	7279.246495	24.634997	20.673315	9.56
20240108	0.25	101.75	145.335	6328.298758	20.528785	17.199959	13.18
20240108	-0.5	99.5	328.647	2868.224265	6.542257	1.94402	9.58
20240108	-0.5	100.25	129.293	7139.128955	19.858879	6.260674	17.61
20240108	-0.5	101.0	206.186	4388.800404	12.293449	5.560741	17.53
20240108	-0.5	101.75	289.587	3134.690438	8.513973	5.446981	14.32
20240108	-1.25	99.5	402.194	2308.161982	4.30349	1.04322	7.56
20240108	-1.25	100.25	276.181	3361.873192	7.502909	2.068484	13.46
20240108	-1.25	101.0	227.853	3842.714821	8.710111	2.620885	18.61
20240108	-1.25	101.75	273.306	3199.245168	6.849637	3.545632	13.89
20240108	-2.0	99.5	424.712	2039.21528	3.522865	0.69244	7.08
20240108	-2.0	100.25	323.163	2804.446982	4.934303	1.019577	8.0
20240108	-2.0	101.0	157.311	5492.40994	10.224631	2.165991	13.2
20240108	-2.0	101.75	187.47	4557.361711	7.931872	2.070488	12.45
20240108	-2.75	99.5	444.202	1806.854764	2.926191	0.433468	5.98
20240108	-2.75	100.25	374.324	2251.1279	3.693178	0.627254	6.56
20240108	-2.75	101.0	299.837	2809.958744	4.988774	0.856288	8.65
20240108	-2.75	101.75	144.793	5724.166224	10.275787	1.920462	10.41
20240108	-3.5	99.5	417.741	1857.107155	2.945143	0.474334	5.79
20240108	-3.5	100.25	358.504	2202.853804	3.500363	0.607693	5.37
20240108	-3.5	101.0	397.374	2005.972208	3.390541	0.624913	6.85
20240108	-3.5	101.75	403.218	1958.656856	3.725384	0.699848	10.26
20240109	1.0	101.75	161.338	5529.925374	22.294153	15.96586	15.76
20240109	0.25	101.75	329.064	2690.375732	8.662774	7.297231	21.96
20240109	-0.5	99.5	443.877	2045.289123	5.547645	2.372835	9.73
20240109	-0.5	100.25	217.582	4075.291614	12.959183	5.540748	24.52
20240109	-0.5	101.0	276.661	3187.43155	9.351643	4.989673	27.38
20240109	-0.5	101.75	351.476	2516.131116	6.379042	3.68803	25.55
20240109	-1.25	99.5	414.765	2219.71068	5.296496	1.543106	5.74
20240109	-1.25	100.25	344.608	2639.876904	7.178037	2.213191	16.42
20240109	-1.25	101.0	238.491	3603.29698	9.63976	3.040015	21.93
20240109	-1.25	101.75	333.905	2582.018838	5.758326	2.084702	21.1
20240109	-2.0	99.5	396.374	2265.700828	4.956846	0.932665	5.21
20240109	-2.0	100.25	401.405	2307.099563	5.348175	0.895112	6.66
20240109	-2.0	101.0	220.408	3988.160593	9.833681	1.556942	12.23
20240109	-2.0	101.75	253.754	3376.317615	8.543629	1.530578	17.03
20240109	-2.75	99.5	440.155	1939.853915	4.019498	0.455358	4.45
20240109	-2.75	100.25	402.351	2196.98845	4.921317	0.484474	5.22
20240109	-2.75	101.0	291.9	2997.945872	8.000911	0.714547	6.21
20240109	-2.75	101.75	230.976	3657.263092	10.913476	1.076047	12.96
20240109	-3.5	99.5	431.442	1879.141113	3.694114	0.328233	4.24
20240109	-3.5	100.25	399.525	2084.481822	4.503791	0.379379	3.48
20240109	-3.5	101.0	294.319	2821.358458	7.290566	0.579889	3.97
20240109	-3.5	101.75	311.077	2585.796764	8.413898	0.772056	8.01
20240110	1.0	101.75	187.805	4328.586033	20.422124	15.377833	10.06
