date	latitude	longitude	blh	co_ugm3	no2_ugm3	so2_ugm3	PM25
20240101	-5.0	106.25	454.874	1891.859504	4.178966	3.515103	15.18
20240101	-5.0	107.0	548.135	1528.18521	2.857013	2.206991	9.82
20240101	-5.0	107.75	486.218	1672.891789	2.579559	1.408727	5.79
20240101	-5.0	108.5	490.903	1647.633239	2.349772	1.169457	4.07
20240101	-5.75	106.25	433.653	2089.822738	8.375644	10.802407	23.11
20240101	-5.75	107.0	370.442	2549.612895	8.689819	13.782562	30.78
20240101	-5.75	107.75	414.153	2185.92863	5.936077	9.014509	20.7
20240101	-5.75	108.5	406.21	2118.650452	3.638313	3.872133	6.81
20240101	-6.5	106.25	265.301	3648.407281	18.850551	22.478313	53.38
20240101	-6.5	107.0	297.426	3335.916497	16.337351	22.428412	66.18
20240101	-6.5	107.75	312.109	2954.940421	11.409197	17.957492	44.86
20240101	-6.5	108.5	338.426	2647.991289	7.823648	11.675728	29.2
20240101	-7.25	106.25	369.999	2334.317931	8.694218	9.360093	28.84
20240101	-7.25	107.0	215.861	3944.217807	16.626292	18.481764	35.78
20240101	-7.25	107.75	187.992	4331.705073	14.869728	19.0518	29.55
20240101	-7.25	108.5	216.398	3898.474108	13.796694	20.573097	34.22
20240101	-8.0	106.25	488.945	1596.810071	3.20134	2.837168	6.68
20240101	-8.0	107.0	404.531	1921.872737	4.467517	4.301401	10.3
20240101	-8.0	107.75	369.179	2119.250553	4.837762	5.087494	10.39
20240101	-8.0	108.5	321.835	2486.46325	5.875943	7.430509	13.98
20240102	-5.0	106.25	444.616	2046.920264	4.470782	3.888227	19.89
20240102	-5.0	107.0	562.645	1599.859769	2.974463	2.680699	15.45
20240102	-5.0	107.75	560.947	1592.262905	2.517081	1.98569	12.28
20240102	-5.0	108.5	564.171	1574.153227	2.351548	1.580716	10.37
20240102	-5.75	106.25	388.208	2440.788443	10.995611	11.346745	30.21
20240102	-5.75	107.0	348.572	2905.052615	11.089089	16.270819	38.85
20240102	-5.75	107.75	354.588	2779.391012	8.328533	11.993801	29.08
20240102	-5.75	108.5	412.825	2246.027736	4.014127	4.487202	13.92
20240102	-6.5	106.25	244.616	4084.100795	23.403416	21.035276	49.04
20240102	-6.5	107.0	252.283	4138.511116	22.98378	25.172826	60.54
20240102	-6.5	107.75	247.577	3961.906801	17.781636	22.775104	46.38
20240102	-6.5	108.5	298.13	3154.480931	10.45666	12.790538	31.01
20240102	-7.25	106.25	372.942	2403.534866	9.321393	8.103019	27.27
20240102	-7.25	107.0	244.304	3620.378299	17.213161	14.81663	31.65
20240102	-7.25	107.75	249.369	3406.082151	13.768808	13.849219	27.98
20240102	-7.25	108.5	219.359	3959.101291	16.673731	19.976472	31.02
20240102	-8.0	106.25	466.192	1715.7448	3.00375	2.424156	9.3
20240102	-8.0	107.0	446.932	1777.535956	4.207629	3.433972	11.2
20240102	-8.0	107.75	420.254	1886.412027	4.658951	4.434145	10.81
20240102	-8.0	108.5	368.421	2180.767383	5.813083	6.900649	13.28
20240103	-5.0	106.25	401.52	2261.548864	5.278066	3.208132	16.83
20240103	-5.0	107.0	448.744	1954.602179	3.668118	2.084201	11.02
20240103	-5.0	107.75	500.569	1682.997948	2.430324	0.91959	7.14
20240103	-5.0	108.5	487.752	1687.854688	2.280007	0.713645	6.11
20240103	-5.75	106.25	508.476	1849.315405	7.877113	6.904131	23.39
20240103	-5.75	107.0	512.286	1849.296292	8.112673	8.289038	33.26
20240103	-5.75	107.75	492.97	1842.71619	6.359837	6.356255	24.75
20240103	-5.75	108.5	479.723	1791.25266	3.216258	2.241373	12.26
20240103	-6.5	106.25	212.853	4755.540209	26.620743	22.219654	57.44
20240103	-6.5	107.0	148.317	6761.800738	40.243114	36.675506	71.97
20240103	-6.5	107.75	227.903	4146.922594	19.97502	20.005599	50.21
20240103	-6.5	108.5	363.215	2495.998238	8.382826	7.782344	34.31
20240103	-7.25	106.25	296.353	3314.112562	13.727015	11.107227	33.43
20240103	-7.25	107.0	110.856	8567.210616	42.487533	35.502932	37.59
20240103	-7.25	107.75	190.15	4757.780174	20.449466	18.91908	31.78
20240103	-7.25	108.5	237.062	3825.09681	16.499713	16.44385	36.05
20240103	-8.0	106.25	326.851	2670.233837	5.829329	4.704407	8.73
20240103	-8.0	107.0	339.765	2523.0215	6.787244	5.787191	11.11
20240103	-8.0	107.75	323.663	2659.138054	7.272339	7.009572	12.38
20240103	-8.0	108.5	316.994	2725.455056	7.727989	8.02689	15.88
20240104	-5.0	106.25	386.112	2293.170893	5.550131	2.32381	13.62
20240104	-5.0	107.0	499.787	1762.967624	3.952692	1.774452	9.4
20240104	-5.0	107.75	493.292	1818.812387	4.045008	2.35645	9.21
20240104	-5.0	108.5	475.432	1846.846447	3.959452	2.074082	8.46
20240104	-5.75	106.25	310.302	2798.191117	11.191977	7.438105	15.47
20240104	-5.75	107.0	404.734	2324.038257	11.290317	10.607152	27.9
20240104	-5.75	107.75	474.677	2011.376157	8.628021	8.675394	24.67
20240104	-5.75	108.5	438.513	2053.903305	5.40753	4.514226	15.0
20240104	-6.5	106.25	236.719	3796.292651	19.311699	14.213887	43.71
