date	latitude	longitude	blh	co_ugm3	no2_ugm3	so2_ugm3	PM25
20240101	-6.5	109.25	417.739	2201.201947	5.574462	8.309464	17.0
20240101	-6.5	110.0	371.387	2520.266999	6.718025	9.079397	18.46
20240101	-6.5	110.75	372.512	2481.989305	7.933232	9.310183	21.75
20240101	-7.25	109.25	239.601	3593.923648	11.944888	17.997316	26.42
20240101	-7.25	110.0	204.742	4355.713044	15.764123	26.324545	39.85
20240101	-7.25	110.75	396.356	2288.05594	9.319089	14.311785	41.72
20240101	-8.0	109.25	320.768	2502.392695	6.342428	7.734587	16.48
20240101	-8.0	110.0	316.617	2595.772179	7.492731	9.967364	25.5
20240101	-8.0	110.75	406.71	2049.69118	7.350178	7.88314	31.41
20240102	-6.5	109.25	331.572	2840.093554	7.497388	10.011195	22.56
20240102	-6.5	110.0	311.116	2992.08591	8.110894	10.822452	22.69
20240102	-6.5	110.75	303.283	2980.504018	9.17328	12.191468	23.17
20240102	-7.25	109.25	224.228	3881.969692	14.854764	19.309743	24.95
20240102	-7.25	110.0	270.981	3289.033548	13.819807	21.450275	33.52
20240102	-7.25	110.75	330.986	2673.734236	11.668034	18.579157	32.79
20240102	-8.0	109.25	358.939	2254.651905	6.932047	8.194376	14.41
20240102	-8.0	110.0	288.044	2856.976018	9.952355	13.520028	19.67
20240102	-8.0	110.75	432.926	1923.67102	7.594605	8.901025	22.69
20240103	-6.5	109.25	369.106	2365.951515	6.094732	4.572835	18.6
20240103	-6.5	110.0	378.502	2247.268178	5.933646	3.632692	15.82
20240103	-6.5	110.75	269.101	3063.896827	11.116428	5.854921	17.04
20240103	-7.25	109.25	157.645	5613.158045	21.897567	20.314618	25.32
20240103	-7.25	110.0	172.78	5049.5011	23.876386	21.996973	34.02
20240103	-7.25	110.75	267.465	3164.891855	16.828763	14.279106	33.21
20240103	-8.0	109.25	314.507	2785.5008	9.066351	8.968729	18.21
20240103	-8.0	110.0	282.197	3092.373767	12.265751	11.826224	24.95
20240103	-8.0	110.75	378.33	2299.705812	11.372735	9.522377	32.48
20240104	-6.5	109.25	390.162	2257.417175	6.391519	5.731289	20.24
20240104	-6.5	110.0	410.557	2065.577252	5.385247	4.214404	15.79
20240104	-6.5	110.75	341.258	2411.919428	7.586208	5.295656	15.98
20240104	-7.25	109.25	191.154	4571.935194	17.3483	17.059643	24.74
20240104	-7.25	110.0	183.719	4714.179807	19.33573	18.826398	32.01
20240104	-7.25	110.75	270.294	3121.577615	14.085788	12.524866	30.88
20240104	-8.0	109.25	378.128	2271.441417	7.483614	6.019213	14.56
20240104	-8.0	110.0	362.925	2357.579665	8.396878	6.721334	19.95
20240104	-8.0	110.75	337.94	2543.763094	11.178384	7.403299	21.15
20240105	-6.5	109.25	416.815	2194.704365	5.915869	5.994938	23.51
20240105	-6.5	110.0	379.42	2401.657793	6.742557	7.157077	20.84
20240105	-6.5	110.75	328.769	2675.466665	9.106957	9.811594	17.31
20240105	-7.25	109.25	249.105	3642.878304	13.513984	13.451444	30.26
20240105	-7.25	110.0	227.391	3978.066414	16.138699	16.63864	35.84
20240105	-7.25	110.75	348.414	2541.735694	11.650809	12.638031	31.81
20240105	-8.0	109.25	361.779	2412.274344	7.022058	6.064064	21.33
20240105	-8.0	110.0	304.058	2837.233357	9.083586	8.215018	24.45
20240105	-8.0	110.75	330.93	2566.369927	10.061161	7.808691	25.34
20240106	-6.5	109.25	332.491	2647.578731	7.525115	9.895245	33.19
20240106	-6.5	110.0	348.197	2398.704182	8.276427	9.294428	31.12
20240106	-6.5	110.75	278.944	2810.184481	13.128943	12.569053	29.08
20240106	-7.25	109.25	239.231	3496.81354	14.347321	15.759734	36.32
20240106	-7.25	110.0	179.957	4627.799419	22.174231	23.081186	44.79
20240106	-7.25	110.75	265.877	3012.281243	17.172745	16.841825	43.29
20240106	-8.0	109.25	361.09	2172.807333	7.196098	6.229065	24.18
20240106	-8.0	110.0	309.957	2499.198599	9.734844	8.244244	30.47
20240106	-8.0	110.75	274.127	2826.07514	12.838874	9.899984	34.66
20240107	-6.5	109.25	298.494	2732.117228	7.768679	7.886772	30.25
20240107	-6.5	110.0	300.616	2621.889054	7.572494	6.755738	27.44
20240107	-6.5	110.75	245.473	3113.293926	10.778493	9.645476	29.17
20240107	-7.25	109.25	194.598	4198.347876	20.161543	19.393344	39.42
20240107	-7.25	110.0	159.093	5232.200663	26.238093	24.278265	48.11
20240107	-7.25	110.75	223.47	3661.545621	18.928026	17.805858	46.54
20240107	-8.0	109.25	274.887	2883.364801	11.909243	10.093624	28.16
20240107	-8.0	110.0	241.752	3329.639465	14.844121	12.048814	33.82
20240107	-8.0	110.75	210.911	3935.144682	19.587006	14.586622	37.48
20240108	-6.5	109.25	380.447	2202.069145	7.330995	6.598501	29.98
20240108	-6.5	110.0	360.653	2212.235029	6.628998	4.408991	23.22
20240108	-6.5	110.75	298.85	2599.064748	9.027355	6.17727	20.28
20240108	-7.25	109.25	203.64	4012.88794	18.764894	15.852907	40.57
20240108	-7.25	110.0	177.725	4741.841609	25.260346	17.518171	46.0
20240108	-7.25	110.75	220.337	3729.590128	20.245374	14.44549	40.62
20240108	-8.0	109.25	299.056	2691.677813	9.711559	8.338261	28.75
20240108	-8.0	110.0	293.955	2807.265738	11.861404	8.846276	33.56
20240108	-8.0	110.75	299.322	2790.98095	12.931251	8.947969	36.37
20240109	-6.5	109.25	336.351	2672.260525	8.181575	8.641274	34.81
20240109	-6.5	110.0	333.273	2617.207815	8.656243	7.23274	28.73
20240109	-6.5	110.75	274.463	3065.713411	14.002467	9.876315	24.63
20240109	-7.25	109.25	231.707	3553.477452	13.880288	12.173823	35.79
20240109	-7.25	110.0	185.473	4553.192648	19.721841	17.293703	49.88
20240109	-7.25	110.75	269.825	3081.779301	16.155412	12.875182	44.75
20240109	-8.0	109.25	313.176	2442.70538	6.998972	6.103973	20.84
20240109	-8.0	110.0	389.595	1992.515048	6.58097	5.779415	31.49
20240109	-8.0	110.75	314.64	2453.744597	9.938412	7.446234	34.26
20240110	-6.5	109.25	362.125	2495.959959	9.138226	7.587184	26.48
20240110	-6.5	110.0	351.305	2525.806635	10.162024	7.326446	25.89
20240110	-6.5	110.75	291.839	2933.659312	13.690107	9.573285	26.6
20240110	-7.25	109.25	250.307	3286.920462	17.077037	12.67772	27.92
20240110	-7.25	110.0	159.065	5283.272876	33.307616	25.371263	38.24
20240110	-7.25	110.75	239.698	3482.556801	23.542516	17.22152	37.4
20240110	-8.0	109.25	326.701	2310.767338	8.363155	6.150296	19.35
20240110	-8.0	110.0	364.836	2103.432501	9.709357	7.11404	26.04
20240110	-8.0	110.75	321.339	2450.92877	13.85978	9.053744	28.3
20240111	-6.5	109.25	445.339	1901.607539	6.208156	8.345728	27.71
20240111	-6.5	110.0	454.079	1841.64848	5.919016	7.35899	25.3
20240111	-6.5	110.75	377.1	2211.536993	8.038526	9.922376	27.74
20240111	-7.25	109.25	231.297	3212.933155	11.254962	13.062396	26.81
20240111	-7.25	110.0	211.792	3619.922849	14.383759	17.180026	33.0
20240111	-7.25	110.75	325.016	2378.942575	10.114108	12.838559	34.4
20240111	-8.0	109.25	440.576	1548.165583	3.913851	3.790676	15.31
20240111	-8.0	110.0	420.102	1657.307035	4.786066	4.926225	18.96
20240111	-8.0	110.75	431.665	1616.689794	5.011956	5.137602	23.11
20240112	-6.5	109.25	473.834	1680.880646	5.740726	9.033178	40.22
20240112	-6.5	110.0	445.261	1789.84326	5.785768	9.223774	41.92
20240112	-6.5	110.75	380.258	2117.696406	7.60643	12.589608	46.75
20240112	-7.25	109.25	375.308	1857.806655	6.027791	8.038035	30.83
20240112	-7.25	110.0	310.907	2246.98479	8.310366	11.841802	37.44
20240112	-7.25	110.75	510.766	1390.882322	5.389302	8.219664	39.92
20240112	-8.0	109.25	593.657	1095.994488	2.454151	2.388352	14.83
20240112	-8.0	110.0	531.311	1219.05513	3.083025	3.425577	18.58
20240112	-8.0	110.75	403.91	1601.135154	4.419683	4.966245	23.01
20240113	-6.5	109.25	530.446	1432.10996	4.225188	7.224877	41.21
20240113	-6.5	110.0	503.42	1500.245719	4.574872	7.091941	41.09
20240113	-6.5	110.75	354.599	2128.915761	7.253512	11.654909	42.01
20240113	-7.25	109.25	341.326	1992.750333	5.919904	8.06785	34.2
20240113	-7.25	110.0	424.133	1595.739072	5.952072	8.200126	38.66
20240113	-7.25	110.75	545.552	1244.42198	4.865104	6.815385	38.13
20240113	-8.0	109.25	675.115	959.527488	1.91377	2.011374	19.12
20240113	-8.0	110.0	522.563	1224.586892	3.043382	3.426816	21.45
20240113	-8.0	110.75	432.336	1460.565625	4.01893	4.485615	24.33
