date	latitude	longitude	blh	co_ugm3	no2_ugm3	so2_ugm3	PM25
20240101	-6.5	111.5	354.229	2536.633647	7.769561	10.140274	16.26
20240101	-6.5	112.25	366.333	2366.349742	5.142182	13.771978	9.16
20240101	-6.5	113.0	394.437	2150.573349	3.995609	8.288391	9.45
20240101	-6.5	113.75	428.077	1937.859077	2.385013	0.909089	10.72
20240101	-6.5	114.5	468.932	1761.687409	2.072312	0.716396	16.04
20240101	-7.25	111.5	397.117	2370.76655	10.086194	21.056495	40.69
20240101	-7.25	112.25	371.09	2483.074187	10.233973	36.957531	41.68
20240101	-7.25	113.0	446.838	1956.808284	6.811243	19.66572	22.22
20240101	-7.25	113.75	403.666	2094.426828	4.899469	9.106244	18.78
20240101	-7.25	114.5	466.833	1784.522517	2.281041	1.141152	18.38
20240101	-8.0	111.5	262.413	3269.959186	12.668446	17.503942	31.42
20240101	-8.0	112.25	273.682	3131.83768	14.065594	16.328074	33.85
20240101	-8.0	113.0	270.752	3091.034969	13.135633	16.338269	26.4
20240101	-8.0	113.75	230.872	3604.232215	10.62487	18.912319	27.09
20240101	-8.0	114.5	288.182	2852.040377	5.03646	3.807209	22.79
20240101	-8.75	111.5	405.104	1970.403403	4.541086	2.655454	12.63
20240101	-8.75	112.25	440.827	1810.884769	4.950815	2.152806	14.23
20240101	-8.75	113.0	397.317	2021.385946	5.246108	2.218717	13.99
20240101	-8.75	113.75	367.184	2193.87555	4.020132	2.622597	14.69
20240101	-8.75	114.5	257.265	3179.044565	5.642921	4.021923	18.11
20240102	-6.5	111.5	338.33	2543.034907	7.843245	10.577274	20.78
20240102	-6.5	112.25	379.635	2150.755067	4.059152	10.396842	18.37
20240102	-6.5	113.0	377.106	2104.437214	3.399386	6.613427	16.66
20240102	-6.5	113.75	412.945	1876.515759	2.310253	0.730209	14.24
20240102	-6.5	114.5	483.223	1587.737132	1.871115	0.582074	15.73
20240102	-7.25	111.5	341.601	2617.924128	10.207868	21.351878	38.65
20240102	-7.25	112.25	317.103	2722.634601	9.379851	36.252984	48.16
20240102	-7.25	113.0	455.476	1798.647788	5.124044	15.964936	29.96
20240102	-7.25	113.75	397.314	1997.983711	4.120381	7.903927	23.96
20240102	-7.25	114.5	450.637	1720.384256	2.179004	1.084357	21.98
20240102	-8.0	111.5	298.156	2818.806262	10.225221	14.838403	27.11
20240102	-8.0	112.25	258.309	3254.491326	11.942627	18.218695	33.51
20240102	-8.0	113.0	317.421	2577.833855	9.002473	14.254236	30.16
20240102	-8.0	113.75	309.486	2591.701079	6.751976	12.452841	30.44
