date	latitude	longitude	blh	co_ugm3	no2_ugm3	so2_ugm3	PM25
20240101	2.5	115.25	229.588	2887.983693	4.249451	1.272756	5.94
20240101	2.5	116.0	220.356	2931.213128	3.817022	1.448832	5.87
20240101	2.5	116.75	192.648	3382.046011	4.07476	1.824549	6.48
20240101	2.5	117.5	223.07	2917.518268	3.448854	1.725882	6.26
20240101	2.5	118.25	384.471	1686.616936	2.102249	0.977609	5.24
20240101	2.5	119.0	486.304	1346.77897	1.73517	0.892079	5.53
20240101	2.5	119.75	544.827	1224.98316	1.645814	0.88719	5.83
20240101	1.75	115.25	229.718	2906.168868	4.011306	1.163169	6.35
20240101	1.75	116.0	219.078	2988.237066	3.794377	1.339696	5.65
20240101	1.75	116.75	262.606	2509.120508	2.919068	1.223439	6.12
20240101	1.75	117.5	279.656	2343.578897	2.759004	1.184161	5.89
20240101	1.75	118.25	420.374	1551.278623	1.943105	0.80082	4.82
20240101	1.75	119.0	501.041	1315.902291	1.799757	0.735936	4.48
20240101	1.75	119.75	581.572	1153.846299	1.641921	0.692792	4.61
20240101	1.0	115.25	212.71	3318.661088	4.468332	1.192198	8.0
20240101	1.0	116.0	195.226	3553.850921	4.490134	1.499469	7.63
20240101	1.0	116.75	280.817	2470.658115	2.927566	1.188792	8.49
20240101	1.0	117.5	281.354	2413.106976	2.899526	1.179552	6.74
20240101	1.0	118.25	246.335	2689.295878	3.490936	1.420767	4.01
20240101	1.0	119.0	478.359	1399.71674	1.984863	0.776842	3.4
20240101	1.0	119.75	532.174	1274.582186	1.882465	0.696136	3.32
20240101	0.25	115.25	241.762	3101.257849	4.001487	1.040756	10.53
20240101	0.25	116.0	236.023	3185.086623	3.893038	1.337506	11.01
20240101	0.25	116.75	231.924	3226.972198	3.917319	1.700799	12.06
20240101	0.25	117.5	265.799	2704.245689	3.547945	1.61054	10.0
20240101	0.25	118.25	427.036	1614.745595	2.241373	0.925486	5.25
20240101	0.25	119.0	503.038	1358.072949	2.008435	0.716012	2.45
20240101	0.25	119.75	322.64	2147.948797	3.161942	1.101232	3.89
20240101	-0.5	115.25	272.546	2864.6944	3.877914	0.903815	11.08
20240101	-0.5	116.0	158.703	4915.699136	6.249429	2.000308	11.42
20240101	-0.5	116.75	219.234	3521.182846	4.796665	2.083085	12.73
20240101	-0.5	117.5	253.924	2932.821632	4.272168	1.875184	10.29
20240101	-0.5	118.25	424.671	1664.763075	2.623308	0.883312	4.73
20240101	-0.5	119.0	436.619	1589.869887	2.833037	0.780064	2.83
20240101	-0.5	119.75	296.335	2348.252147	3.975278	1.117198	6.95
20240101	-1.25	115.25	314.018	2521.848748	3.582753	0.744425	9.53
20240101	-1.25	116.0	212.46	3676.00866	5.025153	1.352463	10.27
20240101	-1.25	116.75	269.71	2870.865745	4.003426	1.495002	10.23
20240101	-1.25	117.5	334.239	2244.918457	3.363791	1.171654	6.63
20240101	-1.25	118.25	443.773	1622.573929	2.839078	0.685114	2.79
20240101	-1.25	119.0	363.846	1928.209187	4.315974	0.743496	4.37
20240101	-1.25	119.75	202.424	3366.959451	7.458918	1.271813	8.49
20240101	-2.0	115.25	313.9	2525.701179	3.867789	0.773079	11.65
20240101	-2.0	116.0	270.757	2884.878323	4.032431	0.960425	10.21
20240101	-2.0	116.75	380.9	2031.426884	2.602997	0.754256	6.34
20240101	-2.0	117.5	364.403	2075.156626	3.017006	0.805038	3.73
20240101	-2.0	118.25	366.341	2021.987984	3.896059	0.68338	3.05
20240101	-2.0	119.0	420.536	1689.09701	4.127644	0.500606	4.86
20240101	-2.0	119.75	223.278	2968.287964	7.794704	0.824746	10.25
20240101	-2.75	115.25	250.601	3167.186883	5.415018	1.243579	15.2
20240101	-2.75	116.0	278.39	2812.456985	3.720094	0.815091	7.74
20240101	-2.75	116.75	411.057	1882.233851	2.271496	0.565296	4.32
20240101	-2.75	117.5	384.564	1989.054878	2.773133	0.594149	3.3
20240101	-2.75	118.25	412.762	1820.431871	3.326682	0.50791	2.79
20240101	-2.75	119.0	269.494	2669.638285	6.3816	0.784678	6.22
20240101	-2.75	119.75	274.424	2512.513847	6.674573	0.723121	13.19
20240102	2.5	115.25	241.728	2711.980408	5.742202	0.990133	3.41
20240102	2.5	116.0	322.825	1972.360877	3.428975	0.98657	3.83
20240102	2.5	116.75	272.265	2385.630544	3.295835	1.805251	5.09
20240102	2.5	117.5	282.853	2366.737139	2.976859	3.057028	5.72
20240102	2.5	118.25	376.768	1812.491507	2.233401	3.089973	5.0
20240102	2.5	119.0	519.755	1323.15187	1.636215	2.757738	4.31
20240102	2.5	119.75	579.262	1190.308013	1.482234	2.838384	4.34
20240102	1.75	115.25	200.406	3316.368272	6.747637	1.12291	3.67
20240102	1.75	116.0	227.442	2795.746608	5.064271	1.191789	3.51
20240102	1.75	116.75	278.239	2321.463202	3.352728	1.403353	4.66
20240102	1.75	117.5	260.747	2530.976387	3.19693	2.055034	5.4
20240102	1.75	118.25	319.062	2109.202914	2.623651	2.437451	4.86
20240102	1.75	119.0	462.856	1475.622872	1.932315	1.908088	4.69
20240102	1.75	119.75	512.705	1337.583991	1.766081	1.923117	4.81
20240102	1.0	115.25	181.025	3924.706532	6.486579	1.236964	5.27
20240102	1.0	116.0	207.859	3279.19888	5.316027	1.270632	4.93
20240102	1.0	116.75	251.288	2716.771991	4.021672	1.268703	5.96
20240102	1.0	117.5	203.734	3331.616716	4.319065	2.016049	6.02
20240102	1.0	118.25	244.007	2753.200933	3.485861	2.054953	4.91
20240102	1.0	119.0	409.163	1673.057437	2.189372	1.373256	4.59
20240102	1.0	119.75	508.51	1358.580559	1.758785	0.945011	4.95
20240102	0.25	115.25	252.567	3027.498842	4.021915	0.901261	7.64
20240102	0.25	116.0	242.413	3150.281544	4.483303	1.122457	7.73
20240102	0.25	116.75	226.122	3331.93232	5.013258	1.591943	9.23
20240102	0.25	117.5	292.434	2447.640835	3.825773	1.509102	9.88
20240102	0.25	118.25	447.179	1559.876023	2.121006	0.984456	6.75
20240102	0.25	119.0	445.067	1575.497622	1.888024	0.809289	4.35
20240102	0.25	119.75	401.372	1760.507709	2.108427	0.749492	4.85
