date	latitude	longitude	blh	co_ugm3	no2_ugm3	so2_ugm3	PM25
20240101	-0.5	130.25	380.26	1766.439541	2.262318	0.727111	1.6
20240101	-0.5	131.0	368.445	1822.273067	2.514866	0.799139	1.69
20240101	-0.5	131.75	376.799	1786.360367	2.457127	0.789742	2.38
20240101	-0.5	132.5	221.08	3006.131265	4.305858	1.381184	1.81
20240101	-0.5	133.25	308.124	2082.888058	2.962167	1.064432	1.2
20240101	-0.5	134.0	456.502	1442.185138	2.004791	0.844159	0.84
20240101	-0.5	134.75	507.538	1338.499383	1.851917	0.919667	0.58
20240101	-0.5	135.5	398.166	1711.525344	2.355327	1.34214	1.32
20240101	-0.5	136.25	479.478	1430.298783	1.954912	1.191749	2.28
20240101	-0.5	137.0	627.213	1091.260385	1.457896	0.945767	2.56
20240101	-0.5	137.75	647.921	1037.885637	1.433774	0.9696	1.69
20240101	-0.5	138.5	633.333	1039.093968	1.482819	1.031913	0.94
20240101	-0.5	139.25	601.695	1068.142331	1.556726	1.12633	0.44
20240101	-0.5	140.0	530.702	1187.159837	1.745523	1.250145	0.31
20240101	-0.5	140.75	473.059	1305.634181	1.934701	1.365969	0.37
20240101	-1.25	130.25	464.955	1483.108688	1.906115	0.498268	2.24
20240101	-1.25	131.0	219.049	3173.297299	5.089432	1.146886	2.13
20240101	-1.25	131.75	188.434	3713.987391	6.107693	1.348258	3.04
20240101	-1.25	132.5	250.952	2802.953951	4.09552	1.03731	3.96
20240101	-1.25	133.25	183.109	3662.612979	5.372632	1.561077	3.32
20240101	-1.25	134.0	306.994	2145.225314	2.890854	1.147076	1.16
20240101	-1.25	134.75	517.833	1309.711046	1.756453	0.822613	0.76
20240101	-1.25	135.5	468.145	1447.843296	1.988644	1.017817	1.11
20240101	-1.25	136.25	325.804	2093.391119	2.872169	1.582787	2.18
20240101	-1.25	137.0	466.614	1459.458567	2.038817	1.181112	2.64
20240101	-1.25	137.75	425.398	1569.668875	2.29181	1.366673	1.77
20240101	-1.25	138.5	408.689	1591.692216	2.449217	1.485357	0.96
20240101	-1.25	139.25	514.395	1241.294336	1.940224	1.233662	0.51
20240101	-1.25	140.0	517.994	1212.803623	1.915885	1.265032	0.44
20240101	-1.25	140.75	525.281	1171.152583	1.909648	1.261975	0.47
20240101	-2.0	130.25	383.283	1868.09068	2.082092	0.447982	2.42
20240101	-2.0	131.0	399.695	1803.181676	2.534945	0.468176	2.26
20240101	-2.0	131.75	331.45	2182.999849	3.675604	0.609543	2.53
20240101	-2.0	132.5	249.554	2929.977079	4.698041	0.841692	3.53
20240101	-2.0	133.25	240.299	3005.574721	5.347188	1.010611	4.53
20240101	-2.0	134.0	298.229	2339.749655	3.812332	0.999709	2.65
20240101	-2.0	134.75	406.213	1683.473202	2.207101	0.830438	1.12
20240101	-2.0	135.5	381.731	1802.319696	2.412151	1.028821	1.46
20240101	-2.0	136.25	380.468	1818.469884	2.668569	1.168165	2.43
20240101	-2.0	137.0	327.804	2103.553648	3.135486	1.465156	2.97
20240101	-2.0	137.75	287.361	2353.620359	3.850575	1.718721	2.49
20240101	-2.0	138.5	286.135	2307.888934	3.959579	1.768797	1.7
20240101	-2.0	139.25	348.911	1857.314616	3.110891	1.493605	1.55
20240101	-2.0	140.0	441.822	1427.28248	2.339619	1.280642	1.28
20240101	-2.0	140.75	459.479	1327.257611	2.223405	1.38237	0.91
20240101	-2.75	130.25	385.499	1923.473472	2.302949	0.368428	3.13
20240101	-2.75	131.0	343.911	2168.186246	2.783361	0.38749	2.31
20240101	-2.75	131.75	360.432	2066.41114	3.320773	0.405243	2.55
20240101	-2.75	132.5	318.257	2291.026749	4.996886	0.479001	2.93
20240101	-2.75	133.25	167.744	4308.394339	9.587282	1.073528	3.79
20240101	-2.75	134.0	163.854	4250.429651	7.223235	1.246429	3.65
20240101	-2.75	134.75	281.713	2441.370828	3.39339	0.885468	2.2
20240101	-2.75	135.5	404.705	1706.785189	2.460257	0.798172	2.49
20240101	-2.75	136.25	239.135	2871.404019	4.418968	1.603914	3.0
20240101	-2.75	137.0	262.031	2597.134309	4.13124	1.605147	2.92
20240101	-2.75	137.75	209.627	3243.221532	5.942584	1.965407	2.64
20240101	-2.75	138.5	221.104	3133.333635	6.868994	1.668417	2.4
20240101	-2.75	139.25	281.127	2452.51719	4.998648	1.365404	2.49
20240101	-2.75	140.0	316.45	2072.2073	3.595728	1.449022	2.66
20240101	-2.75	140.75	311.749	1989.773824	3.530658	1.722962	2.13
20240101	-3.5	130.25	194.468	3950.628381	4.65851	0.683276	2.95
20240101	-3.5	131.0	321.976	2395.634457	3.043454	0.389302	2.29
20240101	-3.5	131.75	409.189	1868.998922	2.972458	0.300808	2.68
20240101	-3.5	132.5	354.926	2110.93242	4.40316	0.362843	3.17
20240101	-3.5	133.25	143.669	5157.472384	11.125887	0.969599	3.29
20240101	-3.5	134.0	144.184	4980.632386	9.298396	1.121167	3.18
20240101	-3.5	134.75	193.163	3619.591744	5.827959	1.072344	3.63
20240101	-3.5	135.5	177.96	3830.632165	6.120943	1.552538	3.66
20240101	-3.5	136.25	190.39	3286.325962	5.358406	1.694542	3.04
20240101	-3.5	137.0	206.317	2962.087467	4.948545	1.679117	2.77
20240101	-3.5	137.75	215.757	2811.090718	5.15326	1.404976	2.52
20240101	-3.5	138.5	256.278	2462.483709	5.362673	1.00382	2.65
20240101	-3.5	139.25	265.02	2538.315976	5.407931	0.961608	3.02
20240101	-3.5	140.0	325.393	2008.964544	3.871915	1.043256	3.15
20240101	-3.5	140.75	310.184	2034.935716	3.955946	1.511748	2.83
20240101	-4.25	130.25	388.575	2022.962105	1.961652	0.370224	2.18
20240101	-4.25	131.0	439.622	1782.944211	1.879235	0.339936	2.22
20240101	-4.25	131.75	381.757	2041.648483	2.662479	0.391755	2.58
20240101	-4.25	132.5	341.304	2276.643403	3.254705	0.445261	3.15
20240101	-4.25	133.25	297.924	2589.217049	3.959033	0.540856	3.54
20240101	-4.25	134.0	379.624	2046.341907	3.175384	0.443912	3.94
20240101	-4.25	134.75	284.51	2681.930688	3.737714	0.708416	4.14
20240101	-4.25	135.5	129.031	5803.265882	8.269951	1.668946	3.64
20240101	-4.25	136.25	139.413	5075.634984	7.859805	1.936005	3.43
20240101	-4.25	137.0	133.994	5136.713584	7.76431	1.841194	4.24
20240101	-4.25	137.75	158.872	4248.476761	6.689933	1.249524	3.88
20240101	-4.25	138.5	126.926	5198.37228	8.693774	1.272682	3.87
20240101	-4.25	139.25	194.666	3418.95349	6.257523	0.813399	3.79
20240101	-4.25	140.0	193.359	3141.628784	6.783703	1.176495	2.45
20240101	-4.25	140.75	244.955	2431.612337	5.038926	1.468347	2.44
20240101	-5.0	130.25	408.926	1922.139947	1.601556	0.440439	1.95
20240101	-5.0	131.0	379.416	2071.343591	1.872199	0.491758	2.13
20240101	-5.0	131.75	378.916	2092.167129	2.008218	0.502387	3.07
20240101	-5.0	132.5	391.867	2025.56352	2.134967	0.486456	3.82
20240101	-5.0	133.25	384.973	2073.322285	2.133321	0.465786	4.58
20240101	-5.0	134.0	397.734	2013.305124	2.09309	0.45934	5.04
20240101	-5.0	134.75	397.572	2017.5206	2.018957	0.470015	5.15
20240101	-5.0	135.5	359.025	2215.020402	2.193442	0.547408	4.66
20240101	-5.0	136.25	404.286	1979.737364	2.031732	0.498933	3.88
20240101	-5.0	137.0	250.328	3160.582516	3.454576	0.745119	4.59
20240101	-5.0	137.75	175.872	4561.740357	6.30102	0.699808	5.56
20240101	-5.0	138.5	138.153	5705.27893	8.871765	0.653508	5.48
20240101	-5.0	139.25	117.39	6393.158702	12.410248	0.861633	5.08
20240101	-5.0	140.0	108.158	6351.691969	13.832717	1.4539	3.82
20240101	-5.0	140.75	212.221	2914.307255	5.796137	1.091312	2.64
20240101	-5.75	130.25	425.333	1839.15826	1.488069	0.513299	1.67
20240101	-5.75	131.0	425.294	1858.679173	1.54818	0.503876	2.35
20240101	-5.75	131.75	418.986	1898.301614	1.682584	0.514943	3.43
20240101	-5.75	132.5	396.736	2009.582947	1.86465	0.517749	4.8
20240101	-5.75	133.25	405.08	1975.810457	1.830497	0.469159	5.47
20240101	-5.75	134.0	385.169	2059.438324	1.97996	0.465139	5.72
20240101	-5.75	134.75	302.351	2607.852794	2.311864	0.612487	5.5
20240101	-5.75	135.5	462.958	1685.825928	1.377244	0.394993	4.89
20240101	-5.75	136.25	440.744	1771.293994	1.487322	0.398303	4.09
20240101	-5.75	137.0	375.377	2061.519486	1.973329	0.395416	3.98
20240101	-5.75	137.75	398.4	1958.210341	2.396194	0.25157	4.6
20240101	-5.75	138.5	187.833	4149.803283	6.373188	0.464272	4.88
20240101	-5.75	139.25	192.054	3962.93178	7.752419	0.484851	4.73
20240101	-5.75	140.0	208.01	3725.498293	8.21548	0.515017	5.03
20240101	-5.75	140.75	193.52	3770.112133	7.325	0.864418	4.32
20240101	-6.5	130.25	525.577	1473.81925	1.188238	0.46594	1.76
20240101	-6.5	131.0	507.846	1537.062417	1.266783	0.471822	2.38
20240101	-6.5	131.75	496.137	1572.419513	1.329603	0.477657	3.5
20240101	-6.5	132.5	494.463	1579.793432	1.38238	0.462077	4.73
20240101	-6.5	133.25	545.606	1424.010916	1.257577	0.406962	5.24
20240101	-6.5	134.0	364.468	2109.318514	1.924031	0.586677	5.34
20240101	-6.5	134.75	378.687	1994.657065	1.760652	0.543256	4.71
20240101	-6.5	135.5	439.882	1699.742886	1.386546	0.458335	4.18
20240101	-6.5	136.25	430.294	1729.622537	1.41178	0.433691	4.0
20240101	-6.5	137.0	385.419	1913.768652	1.744608	0.429108	3.87
20240101	-6.5	137.75	428.804	1703.906913	1.75633	0.362113	3.84
20240101	-6.5	138.5	341.973	2130.084831	2.910565	0.407854	4.02
20240101	-6.5	139.25	180.656	4036.838522	7.414838	0.653299	4.57
20240101	-6.5	140.0	243.424	3038.092793	6.429239	0.507966	4.77
20240101	-6.5	140.75	233.466	3228.751082	5.820047	0.576882	4.7
20240101	-7.25	130.25	527.768	1444.535667	1.255604	0.564178	2.39
20240101	-7.25	131.0	440.135	1733.933452	1.507582	0.640389	2.6
20240101	-7.25	131.75	424.223	1798.035703	1.594359	0.645263	3.41
20240101	-7.25	132.5	625.52	1219.219369	1.082148	0.425655	4.17
20240101	-7.25	133.25	584.492	1297.403899	1.152051	0.44758	4.75
20240101	-7.25	134.0	489.419	1526.59439	1.349614	0.538596	4.6
20240101	-7.25	134.75	472.09	1550.780572	1.34719	0.549539	4.16
20240101	-7.25	135.5	466.643	1529.789154	1.325114	0.53317	4.02
20240101	-7.25	136.25	466.708	1513.973191	1.316334	0.497174	3.95
20240101	-7.25	137.0	424.377	1636.247487	1.480011	0.511218	4.05
20240101	-7.25	137.75	420.239	1640.452457	1.691477	0.493053	4.05
20240101	-7.25	138.5	406.466	1709.077512	1.968572	0.494216	4.18
20240101	-7.25	139.25	292.215	2394.195712	3.647571	0.624634	4.82
20240101	-7.25	140.0	268.515	2644.874588	4.248444	0.670224	5.72
20240101	-7.25	140.75	265.976	2699.848483	3.916617	0.713097	5.38
20240101	-8.0	130.25	537.614	1407.249253	1.410309	0.732894	2.98
20240101	-8.0	131.0	388.051	1952.412698	1.924909	0.95129	2.93
20240101	-8.0	131.75	483.351	1567.626425	1.530171	0.696554	2.84
20240101	-8.0	132.5	743.2	1019.252153	0.992643	0.434911	3.6
20240101	-8.0	133.25	640.861	1176.642517	1.12276	0.491043	4.47
20240101	-8.0	134.0	567.338	1310.009025	1.2387	0.559306	4.42
20240101	-8.0	134.75	568.273	1277.111001	1.196976	0.563946	4.07
20240101	-8.0	135.5	515.807	1368.910465	1.282752	0.604916	3.98
20240101	-8.0	136.25	505.804	1354.421871	1.275165	0.569254	4.1
20240101	-8.0	137.0	444.52	1512.288311	1.471633	0.606411	4.23
20240101	-8.0	137.75	355.242	1868.359597	1.971552	0.755516	4.49
20240101	-8.0	138.5	342.393	1950.715698	2.281319	0.77566	4.56
20240101	-8.0	139.25	367.939	1824.648923	2.215186	0.747559	4.35
20240101	-8.0	140.0	374.346	1821.318246	2.380833	0.72984	5.7
20240101	-8.0	140.75	312.814	2199.002602	2.773808	0.881562	6.48
